Unnamed: 0,meta.movie_name,meta.character_name,meta.gender,text
13,1492: conquest of paradise,SAILOR,f,"we left three weeks ago, alonso. can't be that near. we'll all go crazy... ah, leave him alone.  he's doing no harm. the water's going putrid in the barrels."
48,15 minutes,ROBERT HAWKINS,m,"but doesn't the son of sam law prevent criminals from profiting from their crimes? and isn't there a movie in the works about you? permanently disrupted?  aren't you selling paintings now for quite a lot of money?  hasn't this 'incident' as you call it, jump started your career as an artist? you seem very savvy for a man who's been found mentally incompetent to stand trial. ...so you feel absolutely no responsibility for killing these people? your doctor?"
59,2001: a space odyssey,MILLER,m,"i suppose you saw the work on our new section while you were docking. well, shall we go through documentation? well.. did you have a pleaant flight? well, thank you very much for being so understanding. i'm terribly sorry. i was just on my way down to meet you. i saw your ship dock and i knew i had plenty of time, and i was on my way out of the office when, suddenly, the phone rang."
106,8mm,DIRECTOR,m,"it's good what you're doing. it's horrible, but it'll be your best friend after a few days.  i hope you realize what kind of long shot you're chasing after. files are mostly by state and year of disappearance.  we try to keep the children and adults separate. no eating or smoking in here, but there's a coffee machine in the hall. well, that's all i can do.  sorry. i can give you my card, if your clients want to call me... i'm not so sure about this. why don't they come to me? we do. why not go to the n.c.i.c. or n.c.m.e.c.? there are reasons for the way we do things here. alright, tom. what can i do for you, mr. welles?"
138,the atomic submarine,SAUCER VOICE,?,"obviously. of course.  but it is time to be- gin the return voyage -- it is a living thing.  when damaged - you would say 'wounded' - it immediately 'heals' itself. i have selected you, to return with me - along with several other specimens, for study.  we will examine you and the others, discover desirable features to incorporate in our 'earth-colonizers.' on the contrary.  i want you - unharmed - perfect. i am afraid not.  therefore - your friend was to remain where he was! my mission is to study various solar systems, and planets - select the most suitable for colonization - point of view is everything. to us, <u>your</u> form of life is ugly as we appear to you. remove your weapons, commander. and come here - alone!"
312,american outlaws,TELLER,m,"all right, all right.  jesse james never yelled at folk... where is jesse james? of course!  uh, sir?"
455,barry lyndon,ARMED GENTLEMAN,m,"is your mother not afraid on account of the highwayman to let one so young as you travel? where are you bound for? good day to you, young sir."
547,blast from the past,MISS SWEET,f,"sure. your mom was a dancer? you're kidding! we work on rodeo drive.  but we're both professional dancers. he's really funny! this is my new friend... bravo! oh, now, that's a great one! yes?"
578,blue velvet,MRS. WILLIAMS,f,"i'll get a coat for her. nice of you to offer, jeffrey, but certainly not. just relax and enjoy your coffee. i'm sure sandy will be back soon. please excuse me a moment, jeffrey, and i'll get to the dishes. anyone else? alright jeffrey, just a minute. here you are. would anyone like coffee? oh, you're welcome. nice to finally meet you, jeffrey. he comes over to study. it's a real good chocolate cake. duncan hines' devil's food. real good. would you like a piece of cake? i was sorry to hear about your father. i know your mother from church. it's such a shame. really, he'll be home soon, would you like a cup of coffee? oh, yes, jeffrey. come in. he'll be back any minute now. you're welcome to wait. is it urgent?"
580,blue velvet,MR. BEAUMONT,m,"hey jeff. i'm feelin' so much better. good to see you, son. uh-uh. uh-uh. hey jeff."
